roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,url,product_id,has_reviews,price_numeric,size_oz,price_per_oz
Camber Coffee,Big Joy,Guatemala,Medium Roast,12oz,$16.20,245,310,79.0,False,False,True,True,"Medium Roast, Guatemala, Espresso, Direct Trade, Available Ground, Single Origin",/products/big-joy,5e13a054476ef30004a41e0f,True,16.2,12,1.35
Camber Coffee,Big Joy,Guatemala,Medium Roast,32oz,$31.50,245,310,79.0,False,False,True,True,"Medium Roast, Guatemala, Espresso, Direct Trade, Available Ground, Single Origin",/products/big-joy,5e13a054476ef30004a41e0f,True,31.5,32,0.98
Camber Coffee,Big Joy,Guatemala,Medium Roast,80oz,$76.50,245,310,79.0,False,False,True,True,"Medium Roast, Guatemala, Espresso, Direct Trade, Available Ground, Single Origin",/products/big-joy,5e13a054476ef30004a41e0f,True,76.5,80,0.96
Ladro Roasting,Fremont,Unspecified,Medium Roast,12oz,$20.98,214,303,70.6,False,True,False,True,"Medium Roast, Blend, Available Ground, Featured",/products/fremont,5acc19d0ae9ff20014651634,True,20.98,12,1.75
Ladro Roasting,Fremont,Unspecified,Medium Roast,80oz,$92.13,214,303,70.6,False,True,False,True,"Medium Roast, Blend, Available Ground, Featured",/products/fremont,5acc19d0ae9ff20014651634,True,92.13,80,1.15
Caffe Vita,Theo Blend,Unspecified,Medium-Dark Roast,12oz,$16.20,154,215,71.6,False,True,False,True,"Medium-Dark Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",/products/theo-blend,588ff234e4fcc61100cb9878,True,16.2,12,1.35
Caffe Vita,Theo Blend,Unspecified,Medium-Dark Roast,80oz,$85.50,154,215,71.6,False,True,False,True,"Medium-Dark Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",/products/theo-blend,588ff234e4fcc61100cb9878,True,85.5,80,1.07
Olympia Coffee Roasting Co.,Big Truck,Unspecified,Medium-Dark Roast,12oz,$16.65,148,200,74.0,False,True,False,False,"Medium-Dark Roast, Blend, Espresso, Direct Trade, Fair Trade",/products/big-truck-organic,5a32e6e86bd23b00147e33be,True,16.65,12,1.39
Olympia Coffee Roasting Co.,Big Truck,Unspecified,Medium-Dark Roast,32oz,$42.12,148,200,74.0,False,True,False,False,"Medium-Dark Roast, Blend, Espresso, Direct Trade, Fair Trade",/products/big-truck-organic,5a32e6e86bd23b00147e33be,True,42.12,32,1.32
Olympia Coffee Roasting Co.,Big Truck,Unspecified,Medium-Dark Roast,80oz,$99.54,148,200,74.0,False,True,False,False,"Medium-Dark Roast, Blend, Espresso, Direct Trade, Fair Trade",/products/big-truck-organic,5a32e6e86bd23b00147e33be,True,99.54,80,1.24
Caffe Vita,Caffe Luna,Unspecified,Dark Roast,12oz,$16.20,136,172,79.1,False,True,False,True,"Dark  Roast, Blend, Direct Trade, Featured, Available Ground",/products/caffe-luna,588feecfe4fcc61100cb9874,True,16.2,12,1.35
Caffe Vita,Caffe Luna,Unspecified,Dark Roast,80oz,$85.50,136,172,79.1,False,True,False,True,"Dark  Roast, Blend, Direct Trade, Featured, Available Ground",/products/caffe-luna,588feecfe4fcc61100cb9874,True,85.5,80,1.07
Blossom Coffee Roasters,Dark Side of the Moon,Unspecified,Dark Roast,12oz,$15.75,126,162,77.8,False,True,False,True,"Dark  Roast, Blend, Available Ground",/products/dark-side-of-the-moon,5f1fcea49628d40004718e5c,True,15.75,12,1.31
Blossom Coffee Roasters,Dark Side of the Moon,Unspecified,Dark Roast,32oz,$35.10,126,162,77.8,False,True,False,True,"Dark  Roast, Blend, Available Ground",/products/dark-side-of-the-moon,5f1fcea49628d40004718e5c,True,35.1,32,1.1
Blossom Coffee Roasters,Dark Side of the Moon,Unspecified,Dark Roast,80oz,$79.65,126,162,77.8,False,True,False,True,"Dark  Roast, Blend, Available Ground",/products/dark-side-of-the-moon,5f1fcea49628d40004718e5c,True,79.65,80,1.0
Camber Coffee,Skyline Espresso,Unspecified,Medium Roast,12oz,$16.20,121,154,78.6,False,True,False,True,"Medium Roast, Blend, Espresso, Direct Trade, Available Ground",/products/skyline-espresso,5e13a054476ef30004a41e0e,True,16.2,12,1.35
