roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,has_reviews,price_numeric,size_oz,price_per_oz
Blossom Coffee Roasters,Espresso Velluto Organic,Unspecified,Light-Medium Roast,80oz,$79.65 ,69,100,69,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",TRUE,79.65,80,1
Blossom Coffee Roasters,First Light Breakfast Blend,Unspecified,Medium Roast,12oz,$15.75 ,69,92,75,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",TRUE,15.75,12,1.31
Blossom Coffee Roasters,First Light Breakfast Blend,Unspecified,Medium Roast,32oz,$34.20 ,69,92,75,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",TRUE,34.2,32,1.07
Blossom Coffee Roasters,First Light Breakfast Blend,Unspecified,Medium Roast,80oz,$79.20 ,69,92,75,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",TRUE,79.2,80,0.99
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,12oz,$15.75 ,68,94,72.3,FALSE,FALSE,TRUE,FALSE,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",TRUE,15.75,12,1.31
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,32oz,$39.87 ,68,94,72.3,FALSE,FALSE,TRUE,FALSE,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",TRUE,39.87,32,1.25
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,80oz,$94.14 ,68,94,72.3,FALSE,FALSE,TRUE,FALSE,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",TRUE,94.14,80,1.18
Olympia Coffee Roasting Co.,Morning Sun,El Salvador,Medium-Dark Roast,80oz,$94.14 ,68,94,72.3,FALSE,FALSE,TRUE,FALSE,"Medium-Dark Roast, El Salvador, Direct Trade, Fair Trade, Single Origin",TRUE,94.14,80,1.18
Tony's Coffee,Espresso Noir,Unspecified,Dark Roast,12oz,$12.32 ,63,93,67.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Espresso, Fair Trade, Organic, Available Ground",TRUE,12.32,12,1.03
Tony's Coffee,Espresso Noir,Unspecified,Dark Roast,24oz,$25.20 ,63,93,67.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Espresso, Fair Trade, Organic, Available Ground",TRUE,25.2,24,1.05
Tony's Coffee,Espresso Noir,Unspecified,Dark Roast,80oz,$63.00 ,63,93,67.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Espresso, Fair Trade, Organic, Available Ground",TRUE,63,80,0.79
Olympia Coffee Roasting Co.,Little Buddy,Unspecified,Light Roast,12oz,$19.80 ,60,97,61.9,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend, Espresso, Direct Trade, Fair Trade",TRUE,19.8,12,1.65
Olympia Coffee Roasting Co.,Little Buddy,Unspecified,Light Roast,32oz,$49.23 ,60,97,61.9,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend, Espresso, Direct Trade, Fair Trade",TRUE,49.23,32,1.54
Olympia Coffee Roasting Co.,Little Buddy,Unspecified,Light Roast,80oz,$114.03 ,60,97,61.9,FALSE,TRUE,FALSE,FALSE,"Light Roast, Blend, Espresso, Direct Trade, Fair Trade",TRUE,114.03,80,1.43
Tonys Coffee,Coffeehouse Blend,Unspecified,Dark Roast,12oz,$12.32 ,56,74,75.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,12.32,12,1.03
Tonys Coffee,Coffeehouse Blend,Unspecified,Dark Roast,80oz,$59.39 ,56,74,75.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,59.39,80,0.74
Anchorhead Coffee,Narwhal Blend,Unspecified,Medium Roast,10oz,$13.50 ,50,74,67.6,FALSE,TRUE,FALSE,FALSE,"Medium Roast, Blend, Direct Trade",TRUE,13.5,10,1.35
Anchorhead Coffee,Narwhal Blend,Unspecified,Medium Roast,32oz,$36.00 ,50,74,67.6,FALSE,TRUE,FALSE,FALSE,"Medium Roast, Blend, Direct Trade",TRUE,36,32,1.12
Camber Coffee,Moonrise Blend,Unspecified,Light Roast,12oz,$19.80 ,43,58,74.1,FALSE,TRUE,FALSE,TRUE,"Light Roast, Blend, Available Ground",TRUE,19.8,12,1.65
Camber Coffee,Moonrise Blend,Unspecified,Light Roast,32oz,$41.40 ,43,58,74.1,FALSE,TRUE,FALSE,TRUE,"Light Roast, Blend, Available Ground",TRUE,41.4,32,1.29
Camber Coffee,Moonrise Blend,Unspecified,Light Roast,80oz,$99.00 ,43,58,74.1,FALSE,TRUE,FALSE,TRUE,"Light Roast, Blend, Available Ground",TRUE,99,80,1.24
Stamp Act Coffee,Regina - A Custom Blend,Unspecified,Light-Medium Roast,12oz,$16.65 ,43,54,79.6,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend",TRUE,16.65,12,1.39
Kuma Coffee Roasters,Ethiopia Guji,Ethiopia,Light-Medium Roast,12oz,$22.07 ,39,53,73.6,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Ethiopia, Single Origin",TRUE,22.07,12,1.84
Caffe Vita,Organic French,Unspecified,Unspecified,12oz,$17.10 ,38,48,79.2,FALSE,TRUE,FALSE,TRUE,"French  Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",TRUE,17.1,12,1.43
Caffe Vita,Organic French,Unspecified,Unspecified,80oz,$85.50 ,38,48,79.2,FALSE,TRUE,FALSE,TRUE,"French  Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",TRUE,85.5,80,1.07
Tonys Coffee,Snow Joe,Unspecified,Medium Roast,12oz,$22.75 ,38,51,74.5,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Fair Trade, Organic, Available Ground, Holiday, Kosher",TRUE,22.75,12,1.9
Tonys Coffee,Snow Joe,Unspecified,Medium Roast,80oz,$103.75 ,38,51,74.5,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Fair Trade, Organic, Available Ground, Holiday, Kosher",TRUE,103.75,80,1.3
Blossom Coffee Roasters,French Roast Blend,Unspecified,Unspecified,12oz,$16.20 ,37,66,56.1,FALSE,TRUE,FALSE,TRUE,"French  Roast, Blend, Organic, Available Ground",TRUE,16.2,12,1.35
Blossom Coffee Roasters,French Roast Blend,Unspecified,Unspecified,32oz,$33.75 ,37,66,56.1,FALSE,TRUE,FALSE,TRUE,"French  Roast, Blend, Organic, Available Ground",TRUE,33.75,32,1.05
Blossom Coffee Roasters,French Roast Blend,Unspecified,Unspecified,80oz,$79.20 ,37,66,56.1,FALSE,TRUE,FALSE,TRUE,"French  Roast, Blend, Organic, Available Ground",TRUE,79.2,80,0.99
Tonys Coffee,Peru Pangoa,Peru,Medium Roast,12oz,$12.60 ,36,46,78.3,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Peru, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",TRUE,12.6,12,1.05
