product_key,search_name,cafe_name,cafe_address,cafe_city,zip_code,longitude,latitude
Victrola Coffee Roasters | Colombia Jose Gomez,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE,98144,-122.3093023920,47.5745959838
Victrola Coffee Roasters | Paramount Blend,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE,98144,-122.3093023920,47.5745959838
Victrola Coffee Roasters | Space Blend,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE,98144,-122.3093023920,47.5745959838
Olympia Coffee Roasting Co | Ethiopia Buncho Honey,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Buncho Honey,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Ethiopia Buncho Honey,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Ladro Roasting | Ladro Blend,'CAFFE LADRO',CAFFE LADRO,333 108TH AVE NE STE 175,BELLEVUE,98004,-122.1966550267,47.6134913051
Ladro Roasting | Ladro Blend,'CAFFE LADRO',CAFFE LADRO,333 108TH AVE NE STE 175,BELLEVUE,98004,-122.1966550267,47.6134913051
Olympia Coffee Roasting Co | Peru EspÃ­ritu Wari Reserva,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Peru EspÃ­ritu Wari Reserva,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Olympia Coffee Roasting Co | Peru EspÃ­ritu Wari Reserva,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE,98118,-122.2852491300,47.5587829100
Tonys Coffee | Morning Tide,'Tonys Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Victrola Coffee Roasters | Nicaragua Luis Alberto,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE,98144,-122.3093023920,47.5745959838
Victrola Coffee Roasters | Guatemala Patzun Chimaltenango,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE,98144,-122.3093023920,47.5745959838
Anchorhead Coffee | Peru Valle Sandia Reserve,'ANCHORHEAD COFFEE',ANCHORHEAD COFFEE,1600 7TH AVE STE #105,SEATTLE,98101,-122.3346300000,47.6133330000
Anchorhead Coffee | Peru Valle Sandia Reserve,'ANCHORHEAD COFFEE',ANCHORHEAD COFFEE,1600 7TH AVE STE #105,SEATTLE,98101,-122.3346300000,47.6133330000
Camber Coffee | Kenya Kii,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
Camber Coffee | Kenya Kii,'Camber Coffee',No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King,No_cafe_identified_in_King
